Frame,Visibility,X,Y,Time
0,1,288,753,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,0,0,0,00:00:00.6
19,0,0,0,00:00:00.6333333333333333
20,0,0,0,00:00:00.6666666666666666
21,1,293,744,00:00:00.7
22,0,0,0,00:00:00.7333333333333333
23,1,304,746,00:00:00.7666666666666666
24,1,292,744,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,478,784,00:00:00.9
28,1,471,782,00:00:00.9333333333333333
29,0,0,0,00:00:00.9666666666666667
30,1,299,746,00:00:01.0
31,1,451,724,00:00:01.0333333333333332
32,1,442,713,00:00:01.0666666666666667
33,1,429,695,00:00:01.1
34,1,419,682,00:00:01.1333333333333333
35,1,411,673,00:00:01.1666666666666667
36,1,400,662,00:00:01.2
37,1,392,655,00:00:01.2333333333333334
38,1,383,646,00:00:01.2666666666666666
39,1,374,642,00:00:01.3
40,1,367,637,00:00:01.3333333333333333
41,1,360,633,00:00:01.3666666666666667
42,1,350,628,00:00:01.4
43,1,343,624,00:00:01.4333333333333333
44,1,336,624,00:00:01.4666666666666666
45,0,0,0,00:00:01.5
46,0,0,0,00:00:01.5333333333333332
47,1,313,624,00:00:01.5666666666666667
48,1,305,624,00:00:01.6
49,1,298,628,00:00:01.6333333333333333
50,1,291,628,00:00:01.6666666666666667
51,1,283,637,00:00:01.7
52,1,275,642,00:00:01.7333333333333334
53,1,269,646,00:00:01.7666666666666666
54,1,262,655,00:00:01.8
55,1,165,777,00:00:01.8333333333333333
56,1,248,668,00:00:01.8666666666666667
57,1,243,675,00:00:01.9
58,1,236,686,00:00:01.9333333333333333
59,0,0,0,00:00:01.9666666666666666
60,0,0,0,00:00:02.0
61,1,341,680,00:00:02.033333333333333
62,1,364,673,00:00:02.0666666666666664
63,1,381,673,00:00:02.1
64,1,398,673,00:00:02.1333333333333333
65,1,408,675,00:00:02.1666666666666665
66,1,419,673,00:00:02.2
67,1,430,677,00:00:02.2333333333333334
68,1,438,677,00:00:02.2666666666666666
69,1,445,682,00:00:02.3
70,1,451,682,00:00:02.3333333333333335
71,1,457,686,00:00:02.3666666666666667
72,1,465,691,00:00:02.4
73,1,469,695,00:00:02.433333333333333
74,1,473,702,00:00:02.466666666666667
75,1,478,704,00:00:02.5
76,1,481,708,00:00:02.533333333333333
77,1,485,713,00:00:02.5666666666666664
78,1,490,717,00:00:02.6
79,1,483,717,00:00:02.6333333333333333
80,1,473,713,00:00:02.6666666666666665
81,1,466,711,00:00:02.7
82,1,457,708,00:00:02.7333333333333334
83,1,448,708,00:00:02.7666666666666666
84,1,440,708,00:00:02.8
85,1,435,706,00:00:02.8333333333333335
86,1,429,708,00:00:02.8666666666666667
87,1,423,708,00:00:02.9
88,1,417,708,00:00:02.933333333333333
89,1,411,713,00:00:02.966666666666667
90,1,405,717,00:00:03.0
91,1,400,722,00:00:03.033333333333333
92,1,394,724,00:00:03.0666666666666664
93,1,387,731,00:00:03.1
94,1,381,737,00:00:03.1333333333333333
95,1,376,742,00:00:03.1666666666666665
96,1,371,748,00:00:03.2
97,1,366,757,00:00:03.2333333333333334
98,1,361,764,00:00:03.2666666666666666
99,0,0,0,00:00:03.3
100,0,0,0,00:00:03.3333333333333335
101,0,0,0,00:00:03.3666666666666667
102,0,0,0,00:00:03.4
103,0,0,0,00:00:03.433333333333333
104,0,0,0,00:00:03.466666666666667
105,0,0,0,00:00:03.5
106,0,0,0,00:00:03.533333333333333
107,0,0,0,00:00:03.5666666666666664
108,1,419,722,00:00:03.6
109,1,436,702,00:00:03.6333333333333333
110,1,448,693,00:00:03.6666666666666665
111,1,461,677,00:00:03.6999999999999997
112,1,472,668,00:00:03.7333333333333334
113,1,482,660,00:00:03.7666666666666666
114,1,491,651,00:00:03.8
115,1,499,646,00:00:03.8333333333333335
116,1,506,642,00:00:03.8666666666666667
117,0,0,0,00:00:03.9
