Frame,Visibility,X,Y,Time
0,1,356,143,00:00:00.04
1,0,0,0,00:00:00.24
2,0,0,0,00:00:00.32
3,1,751,5,00:00:00.36
4,0,0,0,00:00:00.4
5,0,0,0,00:00:00.44
6,1,356,143,00:00:00.48
7,0,0,0,00:00:00.52
8,0,0,0,00:00:00.52
9,1,967,7,00:00:00.56
10,1,946,5,00:00:00.6
11,0,0,0,00:00:00.64
12,1,963,7,00:00:00.68
13,0,0,0,00:00:00.72
14,0,0,0,00:00:00.720078125
15,1,768,8,00:00:00.8
16,0,0,0,00:00:00.84
17,0,0,0,00:00:00.88
18,1,759,5,00:00:00.92
19,1,763,5,00:00:00.96
20,0,0,0,00:00:00.96
21,1,798,7,00:00:01.04
22,1,763,5,00:00:01.08
23,0,0,0,00:00:01.12
24,1,798,7,00:00:01.16
25,1,763,5,00:00:01.160078125
26,0,0,0,00:00:01.2
27,1,798,7,00:00:01.24
28,1,763,5,00:00:01.28
29,0,0,0,00:00:01.32
30,1,798,7,00:00:01.36
31,1,763,5,00:00:01.360078125
32,0,0,0,00:00:01.4000000000000001
33,1,798,7,00:00:01.44
34,1,763,5,00:00:01.48
35,1,894,621,00:00:01.52
36,1,798,7,00:00:01.52
37,1,763,5,00:00:01.56
38,0,0,0,00:00:01.6
39,1,798,7,00:00:01.6400000000000001
40,1,763,5,00:00:01.68
41,0,0,0,00:00:01.72
42,1,798,7,00:00:01.72
43,1,763,5,00:00:01.76
44,0,0,0,00:00:01.8
45,1,798,7,00:00:01.84
46,1,763,5,00:00:01.8800000000000003
47,0,0,0,00:00:01.880078125
48,1,798,7,00:00:01.92
49,1,763,5,00:00:01.96
50,0,0,0,00:00:02.0
51,1,798,7,00:00:02.04
52,1,765,5,00:00:02.08
53,0,0,0,00:00:02.08
54,1,798,7,00:00:02.12
55,1,765,5,00:00:02.16
56,0,0,0,00:00:02.2
57,1,798,7,00:00:02.24
58,1,765,5,00:00:02.2800000000000002
59,0,0,0,00:00:02.280078125
60,1,798,7,00:00:02.32
61,1,765,5,00:00:02.36
62,0,0,0,00:00:02.4
63,1,798,7,00:00:02.44
64,1,765,5,00:00:02.44
65,0,0,0,00:00:02.48
66,1,798,7,00:00:02.52
67,1,763,5,00:00:02.56
68,0,0,0,00:00:02.6
69,1,798,7,00:00:02.64
70,1,763,5,00:00:02.64
71,0,0,0,00:00:02.68
72,1,798,7,00:00:02.72
73,1,763,5,00:00:02.7600000000000007
74,0,0,0,00:00:02.8000000000000003
75,1,1820,44,00:00:02.84
76,0,0,0,00:00:02.84
77,0,0,0,00:00:02.88
78,1,933,5,00:00:02.92
79,0,0,0,00:00:02.96
80,0,0,0,00:00:03.0
81,1,933,5,00:00:03.0
82,0,0,0,00:00:03.04
83,0,0,0,00:00:03.08
84,1,933,5,00:00:03.12
85,0,0,0,00:00:03.16
86,0,0,0,00:00:03.16
87,1,933,5,00:00:03.2
88,0,0,0,00:00:03.24
89,0,0,0,00:00:03.2800000000000002
90,1,1820,44,00:00:03.3200000000000003
91,0,0,0,00:00:03.36
92,0,0,0,00:00:03.4
93,1,1820,44,00:00:03.44
94,0,0,0,00:00:03.44
95,0,0,0,00:00:03.48
96,1,933,5,00:00:03.52
97,0,0,0,00:00:03.56
98,0,0,0,00:00:03.6
99,1,933,5,00:00:03.64
100,0,0,0,00:00:03.64
101,0,0,0,00:00:03.68
102,1,933,5,00:00:03.72
103,0,0,0,00:00:03.7600000000000007
104,0,0,0,00:00:03.8000000000000003
105,1,933,5,00:00:03.8000000000000003
106,0,0,0,00:00:03.84
107,0,0,0,00:00:03.88
108,1,933,5,00:00:03.92
109,0,0,0,00:00:03.96
110,0,0,0,00:00:04.0
111,0,0,0,00:00:04.0
112,0,0,0,00:00:04.04
113,0,0,0,00:00:04.08
114,0,0,0,00:00:04.12
115,0,0,0,00:00:04.16
116,1,885,648,00:00:04.2
117,0,0,0,00:00:04.2
118,0,0,0,00:00:04.24
119,0,0,0,00:00:04.28
120,0,0,0,00:00:04.32
121,0,0,0,00:00:04.36
122,0,0,0,00:00:04.4
123,0,0,0,00:00:04.400078125
124,0,0,0,00:00:04.44
125,0,0,0,00:00:04.48
126,0,0,0,00:00:04.520000000000001
127,0,0,0,00:00:04.5600000000000005
128,0,0,0,00:00:04.5600000000000005
129,0,0,0,00:00:04.6000000000000005
130,0,0,0,00:00:04.64
131,0,0,0,00:00:04.68
132,0,0,0,00:00:04.72
133,0,0,0,00:00:04.76
134,0,0,0,00:00:04.76
135,0,0,0,00:00:04.8
136,0,0,0,00:00:04.84
137,0,0,0,00:00:04.88
138,0,0,0,00:00:04.92
139,0,0,0,00:00:04.920078125
140,0,0,0,00:00:04.96
141,0,0,0,00:00:05.0
142,0,0,0,00:00:05.04
143,0,0,0,00:00:05.08
144,0,0,0,00:00:05.12
145,0,0,0,00:00:05.12
146,0,0,0,00:00:05.16
147,0,0,0,00:00:05.2
148,0,0,0,00:00:05.24
149,0,0,0,00:00:05.28
150,0,0,0,00:00:05.28
151,0,0,0,00:00:05.32
152,0,0,0,00:00:05.36
153,0,0,0,00:00:05.4
154,0,0,0,00:00:05.44
155,0,0,0,00:00:05.48
156,0,0,0,00:00:05.48
157,0,0,0,00:00:05.520000000000001
158,0,0,0,00:00:05.5600000000000005
159,0,0,0,00:00:05.6000000000000005
160,0,0,0,00:00:05.64
161,0,0,0,00:00:05.68
162,0,0,0,00:00:05.68
163,0,0,0,00:00:05.72
164,0,0,0,00:00:05.76
165,0,0,0,00:00:05.8
166,0,0,0,00:00:05.84
167,0,0,0,00:00:05.840078125
168,0,0,0,00:00:05.88
169,0,0,0,00:00:05.92
170,0,0,0,00:00:05.96
171,0,0,0,00:00:06.0
172,0,0,0,00:00:06.04
173,0,0,0,00:00:06.08
174,0,0,0,00:00:06.12
175,0,0,0,00:00:06.120078125
176,0,0,0,00:00:06.16
177,0,0,0,00:00:06.2
178,0,0,0,00:00:06.24
179,1,973,617,00:00:06.28
180,0,0,0,00:00:06.32
181,0,0,0,00:00:06.32
182,0,0,0,00:00:06.36
183,0,0,0,00:00:06.4
184,0,0,0,00:00:06.44
185,0,0,0,00:00:06.48
186,0,0,0,00:00:06.48
187,0,0,0,00:00:06.520000000000001
188,0,0,0,00:00:06.5600000000000005
189,1,256,892,00:00:06.6000000000000005
190,0,0,0,00:00:06.640000000000001
191,1,918,595,00:00:06.68
192,1,211,59,00:00:06.68
193,0,0,0,00:00:06.72
194,0,0,0,00:00:06.76
195,0,0,0,00:00:06.8
196,0,0,0,00:00:06.84
197,0,0,0,00:00:06.88
198,0,0,0,00:00:06.880078125
199,0,0,0,00:00:06.92
200,0,0,0,00:00:06.96
201,0,0,0,00:00:07.0
202,0,0,0,00:00:07.04
203,0,0,0,00:00:07.04
204,0,0,0,00:00:07.08
205,1,1905,689,00:00:07.12
206,1,646,612,00:00:07.16
207,0,0,0,00:00:07.2
208,1,1871,416,00:00:07.24
209,0,0,0,00:00:07.240078125
210,0,0,0,00:00:07.28
211,0,0,0,00:00:07.32
212,0,0,0,00:00:07.36
213,0,0,0,00:00:07.4
214,0,0,0,00:00:07.4
215,0,0,0,00:00:07.44
216,0,0,0,00:00:07.48
217,0,0,0,00:00:07.520000000000001
218,1,1074,533,00:00:07.5600000000000005
219,0,0,0,00:00:07.6000000000000005
220,0,0,0,00:00:07.6000000000000005
221,1,1059,464,00:00:07.640000000000001
222,0,0,0,00:00:07.68
223,0,0,0,00:00:07.72
224,1,1884,242,00:00:07.76
225,1,667,434,00:00:07.8
226,0,0,0,00:00:07.8
227,0,0,0,00:00:07.84
228,0,0,0,00:00:07.88
229,0,0,0,00:00:07.92
230,0,0,0,00:00:07.96
231,0,0,0,00:00:08.0
232,0,0,0,00:00:08.040000000000001
233,1,1200,847,00:00:08.040000000000001
234,0,0,0,00:00:08.08
235,0,0,0,00:00:08.120000000000001
236,1,1213,551,00:00:08.16
237,0,0,0,00:00:08.2
238,0,0,0,00:00:08.24
239,0,0,0,00:00:08.240078125
240,0,0,0,00:00:08.28
241,0,0,0,00:00:08.32
242,0,0,0,00:00:08.36
243,0,0,0,00:00:08.4
244,0,0,0,00:00:08.44
245,0,0,0,00:00:08.44
246,0,0,0,00:00:08.48
247,0,0,0,00:00:08.52
248,0,0,0,00:00:08.56
249,0,0,0,00:00:08.6
250,0,0,0,00:00:08.600078125
251,0,0,0,00:00:08.64
252,0,0,0,00:00:08.68
253,0,0,0,00:00:08.72
254,0,0,0,00:00:08.76
255,0,0,0,00:00:08.8
256,0,0,0,00:00:08.84
257,0,0,0,00:00:08.88
258,0,0,0,00:00:08.880078125
259,0,0,0,00:00:08.92
260,0,0,0,00:00:08.96
261,0,0,0,00:00:09.0
262,0,0,0,00:00:09.040000000000003
263,0,0,0,00:00:09.08
264,0,0,0,00:00:09.080078125
265,0,0,0,00:00:09.120000000000001
266,0,0,0,00:00:09.16
267,0,0,0,00:00:09.200000000000001
268,0,0,0,00:00:09.24
269,0,0,0,00:00:09.24
270,0,0,0,00:00:09.28
271,0,0,0,00:00:09.32
272,0,0,0,00:00:09.36
273,0,0,0,00:00:09.4
274,0,0,0,00:00:09.44
275,0,0,0,00:00:09.44
276,0,0,0,00:00:09.48
277,0,0,0,00:00:09.52
278,0,0,0,00:00:09.56
279,0,0,0,00:00:09.6
280,0,0,0,00:00:09.64
281,0,0,0,00:00:09.64
282,0,0,0,00:00:09.68
283,0,0,0,00:00:09.72
284,0,0,0,00:00:09.76
285,0,0,0,00:00:09.8
286,0,0,0,00:00:09.8
287,0,0,0,00:00:09.84
288,0,0,0,00:00:09.88
289,0,0,0,00:00:09.92
290,0,0,0,00:00:09.96
291,0,0,0,00:00:10.0
292,0,0,0,00:00:10.000078125
293,0,0,0,00:00:10.040000000000003
294,0,0,0,00:00:10.08
295,0,0,0,00:00:10.120000000000001
296,0,0,0,00:00:10.16
297,0,0,0,00:00:10.16
298,0,0,0,00:00:10.200000000000001
299,0,0,0,00:00:10.24
300,0,0,0,00:00:10.28
301,0,0,0,00:00:10.32
302,0,0,0,00:00:10.36
303,0,0,0,00:00:10.36
304,0,0,0,00:00:10.4
305,1,1284,468,00:00:10.44
306,1,1130,981,00:00:10.48
307,0,0,0,00:00:10.52
308,0,0,0,00:00:10.56
309,0,0,0,00:00:10.56
310,0,0,0,00:00:10.6
311,0,0,0,00:00:10.64
312,0,0,0,00:00:10.68
313,0,0,0,00:00:10.72
314,0,0,0,00:00:10.72
315,1,1134,983,00:00:10.76
316,0,0,0,00:00:10.8
317,0,0,0,00:00:10.84
318,0,0,0,00:00:10.88
319,0,0,0,00:00:10.92
320,1,1383,332,00:00:10.92
321,0,0,0,00:00:10.96
322,0,0,0,00:00:11.0
323,0,0,0,00:00:11.040000000000003
324,0,0,0,00:00:11.08
325,0,0,0,00:00:11.08
326,0,0,0,00:00:11.120000000000001
327,1,268,910,00:00:11.16
328,0,0,0,00:00:11.200000000000001
329,1,1192,412,00:00:11.24
330,1,1636,705,00:00:11.28
331,1,1642,714,00:00:11.28
332,0,0,0,00:00:11.32
333,0,0,0,00:00:11.36
334,0,0,0,00:00:11.4
335,1,1201,414,00:00:11.44
336,0,0,0,00:00:11.44
337,0,0,0,00:00:11.48
338,1,1231,850,00:00:11.52
339,0,0,0,00:00:11.56
340,0,0,0,00:00:11.6
341,1,1481,671,00:00:11.64
342,0,0,0,00:00:11.64
343,0,0,0,00:00:11.68
344,1,1312,764,00:00:11.72
345,0,0,0,00:00:11.76
346,0,0,0,00:00:11.8
347,1,941,197,00:00:11.84
348,0,0,0,00:00:11.840078125
349,0,0,0,00:00:11.88
350,0,0,0,00:00:11.92
351,0,0,0,00:00:11.96
352,0,0,0,00:00:12.0
353,0,0,0,00:00:12.0
354,0,0,0,00:00:12.040000000000003
355,0,0,0,00:00:12.08
356,0,0,0,00:00:12.120000000000001
357,0,0,0,00:00:12.16
358,0,0,0,00:00:12.200000000000001
359,0,0,0,00:00:12.24
360,0,0,0,00:00:12.280000000000001
361,0,0,0,00:00:12.32
362,0,0,0,00:00:12.36
363,0,0,0,00:00:12.4
364,0,0,0,00:00:12.4
365,0,0,0,00:00:12.44
366,1,783,7,00:00:12.48
367,1,768,7,00:00:12.56
368,0,0,0,00:00:12.6
369,1,793,5,00:00:12.64
370,1,793,3,00:00:12.68
371,0,0,0,00:00:12.76
372,1,759,7,00:00:12.8
373,1,787,5,00:00:12.84
374,0,0,0,00:00:12.88
375,1,759,7,00:00:12.96
376,1,787,3,00:00:13.0
377,0,0,0,00:00:13.040000000000003
378,1,793,5,00:00:13.040078125
379,1,766,7,00:00:13.120000000000001
380,0,0,0,00:00:13.120000000000001
381,1,759,7,00:00:13.200000000000001
382,1,766,7,00:00:13.24
383,0,0,0,00:00:13.24
384,1,759,7,00:00:13.280000000000001
385,1,766,7,00:00:13.32
386,0,0,0,00:00:13.36
387,1,759,7,00:00:13.44
388,1,763,5,00:00:13.48
389,0,0,0,00:00:13.52
390,1,759,7,00:00:13.56
391,1,766,7,00:00:13.6
392,0,0,0,00:00:13.64
393,1,793,5,00:00:13.68
394,1,765,7,00:00:13.72
395,0,0,0,00:00:13.76
396,1,802,7,00:00:13.76
397,1,946,5,00:00:13.8
398,0,0,0,00:00:13.84
399,1,802,7,00:00:13.88
400,1,946,5,00:00:13.92
401,0,0,0,00:00:13.96
402,1,802,7,00:00:13.960078125
403,1,946,5,00:00:14.0
404,0,0,0,00:00:14.08
405,1,802,7,00:00:14.120000000000001
406,1,946,5,00:00:14.16
407,0,0,0,00:00:14.200000000000001
408,1,802,7,00:00:14.280000000000001
409,1,946,5,00:00:14.32
410,0,0,0,00:00:14.36
411,1,802,7,00:00:14.4
412,1,946,5,00:00:14.44
413,0,0,0,00:00:14.48
414,1,1696,1012,00:00:14.56
415,0,0,0,00:00:14.6
416,0,0,0,00:00:14.64
417,0,0,0,00:00:14.68
418,0,0,0,00:00:14.72
419,0,0,0,00:00:14.76
420,0,0,0,00:00:14.8
421,0,0,0,00:00:14.84
422,0,0,0,00:00:14.88
423,0,0,0,00:00:14.92
424,0,0,0,00:00:14.96
425,0,0,0,00:00:15.0
426,0,0,0,00:00:15.16
427,0,0,0,00:00:15.200000000000001
428,0,0,0,00:00:15.24
429,0,0,0,00:00:15.280000000000001
430,0,0,0,00:00:15.32
431,1,819,335,00:00:15.36
432,0,0,0,00:00:15.36
