Frame,Visibility,X,Y,Hit
0,1,356,143,0
1,0,0,0,0
2,0,0,0,0
3,1,751,5,0
4,0,0,0,0
5,0,0,0,0
6,1,356,143,1
7,0,0,0,0
8,0,0,0,0
9,1,967,7,0
10,1,946,5,0
11,0,0,0,0
12,1,963,7,0
13,0,0,0,0
14,0,0,0,0
15,1,768,8,0
16,0,0,0,0
17,0,0,0,0
18,1,759,5,0
19,1,763,5,0
20,0,0,0,0
21,1,798,7,0
22,1,763,5,0
23,0,0,0,0
24,1,798,7,0
25,1,763,5,0
26,0,0,0,0
27,1,798,7,0
28,1,763,5,0
29,0,0,0,0
30,1,798,7,0
31,1,763,5,0
32,0,0,0,0
33,1,798,7,0
34,1,763,5,0
35,1,894,621,1
36,1,798,7,0
37,1,763,5,0
38,0,0,0,0
39,1,798,7,0
40,1,763,5,0
41,0,0,0,0
42,1,798,7,0
43,1,763,5,0
44,0,0,0,0
45,1,798,7,0
46,1,763,5,0
47,0,0,0,0
48,1,798,7,0
49,1,763,5,0
50,0,0,0,0
51,1,798,7,0
52,1,765,5,0
53,0,0,0,0
54,1,798,7,0
55,1,765,5,0
56,0,0,0,0
57,1,798,7,0
58,1,765,5,0
59,0,0,0,0
60,1,798,7,0
61,1,765,5,0
62,0,0,0,0
63,1,798,7,0
64,1,765,5,0
65,0,0,0,0
66,1,798,7,0
67,1,763,5,0
68,0,0,0,0
69,1,798,7,0
70,1,763,5,0
71,0,0,0,0
72,1,798,7,0
73,1,763,5,0
74,0,0,0,0
75,1,1820,44,1
76,0,0,0,0
77,0,0,0,0
78,1,933,5,0
79,0,0,0,0
80,0,0,0,0
81,1,933,5,0
82,0,0,0,0
83,0,0,0,0
84,1,933,5,0
85,0,0,0,0
86,0,0,0,0
87,1,933,5,0
88,0,0,0,0
89,0,0,0,0
90,1,1820,44,1
91,0,0,0,0
92,0,0,0,0
93,1,1820,44,0
94,0,0,0,0
95,0,0,0,0
96,1,933,5,0
97,0,0,0,0
98,0,0,0,0
99,1,933,5,0
100,0,0,0,0
101,0,0,0,0
102,1,933,5,0
103,0,0,0,0
104,0,0,0,0
105,1,933,5,0
106,0,0,0,0
107,0,0,0,0
108,1,933,5,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,1,885,648,1
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
